"no","generasi","pertanyaan","pertanyaan_ner","lapis_terjemahan","sql_asli_1baris","sql_dipakai_1baris","error"
"11","v1","""merekap jumlah dan nama sarana distribusi dan pelayanan yang belum pernah diperiksa dalam kurun waktu 1 tahun terakhir""","""merekap jumlah dan nama sarana distribusi dan pelayanan yang belum pernah diperiksa dalam kurun waktu <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT nama_sarana, jenis_sarana FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) IN ('distribusi', 'pelayanan') AND nama_sarana NOT IN ( SELECT DISTINCT nama_sarana FROM vw_pemeriksaan_bcc WHERE tgl_start = tgl_start - interval '1 year' );","SELECT nama_sarana, sarana FROM mv_pemeriksaan WHERE lower(sarana) IN ('distribusi', 'pelayanan') AND nama_sarana NOT IN ( SELECT DISTINCT nama_sarana FROM mv_pemeriksaan WHERE tanggal_mulai = tanggal_mulai - interval '1 year' );",""
"12","v1","""sarana distribusi apa saja yang pernah memiliki riwayat memenuhi ketentuan berdasarkan tahun temuannya?""","""sarana distribusi apa saja yang pernah memiliki riwayat memenuhi ketentuan berdasarkan tahun temuannya?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT nama_sarana, EXTRACT(YEAR FROM tgl_start) AS tahun_temuan FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) LIKE '%distribusi%' AND kesimpulan = 'MK' GROUP BY nama_sarana, tahun_temuan;","SELECT nama_sarana, EXTRACT(YEAR FROM tanggal_mulai) AS tahun_temuan FROM mv_pemeriksaan WHERE lower(sarana) LIKE '%distribusi%' AND kesimpulan = 'MK' GROUP BY nama_sarana, tahun_temuan;",""
"13","v1","""sarana distribusi apa saja yang pernah memiliki riwayat tidak memenuhi ketentuan berdasarkan tahun temuannya?""","""sarana distribusi apa saja yang pernah memiliki riwayat tidak memenuhi ketentuan berdasarkan tahun temuannya?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT DISTINCT nama_sarana, EXTRACT(YEAR FROM tgl_start) AS tahun_temuan FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) LIKE 'distribusi' AND kesimpulan LIKE 'TMK' GROUP BY nama_sarana, tahun_temuan;","SELECT DISTINCT nama_sarana, EXTRACT(YEAR FROM tanggal_mulai) AS tahun_temuan FROM mv_pemeriksaan WHERE lower(sarana) LIKE 'distribusi' AND kesimpulan LIKE 'TMK' GROUP BY nama_sarana, tahun_temuan;",""
"14","v1","""sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom setiap tahun dari tahun 2020 hingga 2024?""","""<FACILITY TYPE> apa saja yang pernah diperiksa oleh badan pom setiap tahun dari tahun <YEAR> hingga <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT EXTRACT(YEAR FROM tgl_start) AS tahun, nama_sarana FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) BETWEEN 2020 AND 2024 AND lower(jenis_sarana) LIKE '%distribusi%' GROUP BY tahun, nama_sarana ORDER BY tahun, nama_sarana;","SELECT EXTRACT(YEAR FROM tanggal_mulai) AS tahun, nama_sarana FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) BETWEEN 2020 AND 2024 AND lower(sarana) LIKE '%distribusi%' GROUP BY tahun, nama_sarana ORDER BY tahun, nama_sarana;",""
"15","v1","""sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom?""","""<FACILITY TYPE> apa saja yang pernah diperiksa oleh <COMPANY NAME>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom jenis_sarana→sarana","SELECT nama_sarana FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) LIKE 'distribusi' AND lower(komoditi) LIKE 'kosmetik' GROUP BY nama_sarana;","SELECT nama_sarana FROM mv_pemeriksaan WHERE lower(sarana) LIKE 'distribusi' AND lower(komoditi) LIKE 'kosmetik' GROUP BY nama_sarana;",""
"16","v1","""sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang belum dilakukan pemeriksaan dalam periode 2 tahun terakhir?""","""<FACILITY TYPE>; <COMMODITY NAME>; <COMMODITY NAME> apa saja yang belum dilakukan pemeriksaan dalam periode 2 tahun terakhir?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_end→tanggal_selesai","SELECT nama_sarana FROM vw_pemeriksaan_bcc WHERE lower(komoditi) IN ('obat tradisional', 'suplemen kesehatan', 'obat') AND tgl_end < NOW() - INTERVAL '2 year' GROUP BY nama_sarana;","SELECT nama_sarana FROM mv_pemeriksaan WHERE lower(komoditi) IN ('obat tradisional', 'suplemen kesehatan', 'obat') AND tanggal_selesai < NOW() - INTERVAL '2 year' GROUP BY nama_sarana;",""
"17","v1","""sarana produksi kosmetik apa saja yang memiliki riwayat pemeriksaan tidak memenuhi ketentuan dalam periode tahun 2024?""","""<FACILITY TYPE> apa saja yang memiliki riwayat pemeriksaan tidak memenuhi ketentuan dalam periode tahun <YEAR>?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT nama_sarana FROM public.vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2024 AND lower(jenis_sarana) ILIKE 'produksi' AND kesimpulan = 'TMK';","SELECT nama_sarana FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2024 AND lower(sarana) ILIKE 'produksi' AND kesimpulan = 'TMK';",""
"18","v1","""sarana produksi md apa yang paling sering memiliki riwayat tmk?""","""<FACILITY TYPE> md apa yang paling sering memiliki riwayat tmk?""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom jenis_sarana→sarana ; kolom klasifikasi→komoditi","SELECT nama_sarana, count(*) FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) LIKE '%produksi%' AND kesimpulan = 'TMK' AND klasifikasi LIKE '%MD%' GROUP BY nama_sarana ORDER BY COUNT(*) DESC LIMIT 5;","SELECT nama_sarana, count(*) FROM mv_pemeriksaan WHERE lower(sarana) LIKE '%produksi%' AND kesimpulan = 'TMK' AND komoditi LIKE '%MD%' GROUP BY nama_sarana ORDER BY COUNT(*) DESC LIMIT 5;",""
"19","v1","""tampilkan daftar sarana dengan hasil tmk berulang lebih dari sekali pada kurun 5 tahun terakhir hingga saat ini pada wilayah kerja balai pom di tangerang""","""tampilkan daftar sarana dengan hasil tmk berulang lebih dari sekali pada kurun 5 tahun terakhir hingga saat ini pada wilayah kerja balai pom di <REGENCY NAME>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt","SELECT nama_sarana, count(*) FROM vw_pemeriksaan_bcc WHERE kesimpulan = 'TMK' AND lower(nama_balai) LIKE '%tangerang%' AND tgl_start >= '2020-07-29' GROUP BY nama_sarana HAVING COUNT(*) > 1 ORDER BY 2 DESC;","SELECT nama_sarana, count(*) FROM mv_pemeriksaan WHERE kesimpulan = 'TMK' AND lower(nama_upt) LIKE '%tangerang%' AND tanggal_mulai >= '2020-07-29' GROUP BY nama_sarana HAVING COUNT(*) > 1 ORDER BY 2 DESC;",""
"20","v1","""tampilkan data persentase pirt yang aman dan bermutu selama periode 2025""","""tampilkan data persentase pirt yang aman dan bermutu selama periode <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai","SELECT CAST(SUM(CASE WHEN kesimpulan = 'MK' THEN 1 ELSE 0 END) AS FLOAT) * 100 / COUNT(*) AS percentage_mk FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2025;","SELECT CAST(SUM(CASE WHEN kesimpulan = 'MK' THEN 1 ELSE 0 END) AS FLOAT) * 100 / COUNT(*) AS percentage_mk FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2025;",""
"21","v1","""tampilkan data profil jenis sarana yang sudah dilakukan pemeriksaan dari tahun 2025""","""tampilkan data profil jenis <FACILITY TYPE> yang sudah dilakukan pemeriksaan dari tahun <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT jenis_sarana , count(*) FROM vw_pemeriksaan_bcc vpb WHERE EXTRACT(YEAR FROM tgl_start) = 2025 GROUP BY 1 LIMIT 5;","SELECT sarana , count(*) FROM mv_pemeriksaan vpb WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2025 GROUP BY 1 LIMIT 5;",""
"22","v1","""tampilkan jumlah dan nama sarana distribusi dan pelayanan yang mk/tmk masing-masing upt pada tahun 2025.""","""tampilkan jumlah dan nama sarana distribusi dan pelayanan yang mk/tmk masing-masing upt pada tahun <YEAR>.""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT lower(jenis_sarana), kesimpulan, COUNT(nama_sarana) FROM public.vw_pemeriksaan_bcc WHERE lower(jenis_sarana) IN ('distribusi', 'pelayanan') AND kesimpulan IN ('MK', 'TMK') AND EXTRACT(YEAR FROM tgl_start) = 2025 GROUP BY lower(jenis_sarana), kesimpulan;","SELECT lower(sarana), kesimpulan, COUNT(nama_sarana) FROM mv_pemeriksaan WHERE lower(sarana) IN ('distribusi', 'pelayanan') AND kesimpulan IN ('MK', 'TMK') AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 GROUP BY lower(sarana), kesimpulan;",""
"23","v1","""tampilkan jumlah sarana produksi kategori mk dan tmk per komoditi, periode, wilayah, dan cakupan upt.""","""tampilkan jumlah <FACILITY TYPE> kategori <CLASSIFICATION> dan <CLASSIFICATION> per <COMMODITY NAME>, periode, wilayah, dan cakupan upt.""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt ; kolom jenis_sarana→sarana","SELECT lower(komoditi), DATE(tgl_start) AS periode, provinsi, nama_balai, kesimpulan, COUNT(*) AS jumlah FROM vw_pemeriksaan_bcc WHERE lower(jenis_sarana) LIKE '%produksi%' GROUP BY lower(komoditi), periode, provinsi, nama_balai, kesimpulan","SELECT lower(komoditi), DATE(tanggal_mulai) AS periode, provinsi, nama_upt, kesimpulan, COUNT(*) AS jumlah FROM mv_pemeriksaan WHERE lower(sarana) LIKE '%produksi%' GROUP BY lower(komoditi), periode, provinsi, nama_upt, kesimpulan",""
"24","v1","""tampilkan jumlah sarana yang tidak dapat diperiksa di wilayah upt surabaya dan pada tahun 2025""","""tampilkan jumlah sarana yang tidak dapat diperiksa di wilayah upt <CITY NAME> dan pada tahun <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt","SELECT nama_balai, count(*) FROM vw_pemeriksaan_bcc vpb WHERE lower(nama_balai) LIKE '%surabaya%' AND EXTRACT(YEAR FROM tgl_start) = 2025 AND kesimpulan LIKE 'TDP' GROUP BY 1","SELECT nama_upt, count(*) FROM mv_pemeriksaan vpb WHERE lower(nama_upt) LIKE '%surabaya%' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND kesimpulan LIKE 'TDP' GROUP BY 1",""
"25","v1","""tampilkan jumlah sarana yang tidak memenuhi ketentuan di wilayah upt surabaya dan pada tahun 2025""","""tampilkan jumlah sarana yang tidak memenuhi ketentuan di wilayah upt <CITY NAME> dan pada tahun <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt","SELECT nama_balai, count(*) FROM vw_pemeriksaan_bcc vpb WHERE lower(nama_balai) LIKE '%surabaya%' AND EXTRACT(YEAR FROM tgl_start) = 2025 AND kesimpulan LIKE 'TMK' GROUP BY 1","SELECT nama_upt, count(*) FROM mv_pemeriksaan vpb WHERE lower(nama_upt) LIKE '%surabaya%' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND kesimpulan LIKE 'TMK' GROUP BY 1",""
"26","v1","""tampilkan persebaran pemeriksaan sarana di kab/kota wilayah kerja upt pada tahun 2025.""","""tampilkan persebaran pemeriksaan sarana di kab/kota wilayah kerja upt pada tahun <YEAR>.""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt","SELECT nama_balai, nama_sarana, count(*) FROM vw_pemeriksaan_bcc vpb WHERE lower(nama_balai) LIKE '%bandung%' AND EXTRACT(YEAR FROM tgl_start) = 2025 GROUP BY 1, 2;","SELECT nama_upt, nama_sarana, count(*) FROM mv_pemeriksaan vpb WHERE lower(nama_upt) LIKE '%bandung%' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 GROUP BY 1, 2;",""
"27","v1","""tampilkan persentase mk tmk hasil pemeriksaan sarana pangan olahan md untuk tujuan pemeriksaan pemeriksaan rutin dari seluruh upt di tahun 2025 dalam bentuk diagram batang""","""tampilkan persentase mk tmk hasil pemeriksaan <FACILITY TYPE> untuk tujuan pemeriksaan <PURPOSE TYPE> dari seluruh upt di tahun <YEAR> dalam bentuk diagram batang""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana ; kolom tujuan→tujuan_pemeriksaan","SELECT SUM(CASE WHEN kesimpulan = 'MK' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS percentage_mk, SUM(CASE WHEN kesimpulan = 'TMK' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS percentage_tmk FROM vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2025 AND lower(tujuan) like 'pemeriksaan rutin' AND lower(jenis_sarana) like 'produksi';","SELECT SUM(CASE WHEN kesimpulan = 'MK' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS percentage_mk, SUM(CASE WHEN kesimpulan = 'TMK' THEN 1 ELSE 0 END) * 100.0 / COUNT(*) AS percentage_tmk FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND lower(tujuan_pemeriksaan) like 'pemeriksaan rutin' AND lower(sarana) like 'produksi';",""
"28","v1","""tampilkan profil pemeriksaan sarana produksi obat dan makanan selama periode 2025 dalam bentuk tabel dan grafik jumlah sarana produksi mk, tmk, tidak dapat dinilai, tutup per jenis komoditi (obat, ob","""tampilkan profil pemeriksaan <FACILITY TYPE> selama periode <YEAR> dalam bentuk tabel dan grafik jumlah sarana produksi <CLASSIFICATION>, <CLASSIFICATION>, <CLASSIFICATION>, <CLASSIFICATION> per jeni","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_end→tanggal_selesai ; nilai 'Kosmetik'→'KOSMETIK' ; nilai 'Obat'→'OBAT' ; nilai 'Produk Pangan'→'PRODUK PANGAN' ; nilai 'Suplemen Kesehatan'→'SUPLEMEN KESEHATAN'","SELECT komoditi, kesimpulan, COUNT(*) AS jumlah_pemeriksaan FROM vw_pemeriksaan_bcc where kesimpulan != 'Null' and extract(year from tgl_end) = 2025 and komoditi in ('OBAT', 'KOSMETIK', 'SUPLEMEN KESEHATAN', 'PRODUK Pangan') GROUP BY komoditi, kesimpulan ORDER BY komoditi, kesimpulan","SELECT komoditi, kesimpulan, COUNT(*) AS jumlah_pemeriksaan FROM mv_pemeriksaan where kesimpulan != 'Null' and extract(year from tanggal_selesai) = 2025 and komoditi in ('OBAT', 'KOSMETIK', 'SUPLEMEN KESEHATAN', 'PRODUK PANGAN') GROUP BY komoditi, kesimpulan ORDER BY komoditi, kesimpulan",""
"29","v1","""tampilkan riwayat pemeriksaan sarana produksi 'nida food' pada rentang tahun yang tersedia.""","""tampilkan riwayat pemeriksaan sarana produksi '<COMPANY NAME>' pada rentang tahun yang tersedia.""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom jenis_sarana→sarana","SELECT * FROM vw_pemeriksaan_bcc WHERE LOWER(nama_sarana) LIKE '%nida food%' AND lower(jenis_sarana) LIKE '%produksi%'","SELECT * FROM mv_pemeriksaan WHERE LOWER(nama_sarana) LIKE '%nida food%' AND lower(sarana) LIKE '%produksi%'",""
"30","v1","""tampilkan sarana distribusi dan pelayanan yang tutup pada periode tahun 2025""","""tampilkan sarana distribusi dan pelayanan yang tutup pada periode tahun <YEAR>""","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom jenis_sarana→sarana","SELECT nama_sarana FROM public.vw_pemeriksaan_bcc WHERE EXTRACT(YEAR FROM tgl_start) = 2025 AND lower(jenis_sarana) IN ('distribusi', 'Pelayanan') AND kesimpulan = 'TTP'","SELECT nama_sarana FROM mv_pemeriksaan WHERE EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND lower(sarana) IN ('distribusi', 'Pelayanan') AND kesimpulan = 'TTP'",""
"31","v1","""tampilkan sarana peredaran yang memiliki riwayat hasil tmk terbanyak di upt dengan nama balai pom di jakarta"".","""tampilkan sarana peredaran yang memiliki riwayat hasil tmk terbanyak di upt dengan nama <HALL NAME> di <CITY NAME>"".","relasi vw_pemeriksaan_bcc→mv_pemeriksaan ; kolom tgl_start→tanggal_mulai ; kolom nama_balai→nama_upt ; kolom jenis_sarana→sarana","SELECT nama_sarana , count(*) FROM vw_pemeriksaan_bcc vpb WHERE lower(nama_balai) LIKE '%jakarta%' AND EXTRACT(YEAR FROM tgl_start) = 2025 AND kesimpulan LIKE 'TMK' AND lower(jenis_sarana) LIKE 'distribusi' GROUP BY 1 ORDER BY 2 DESC","SELECT nama_sarana , count(*) FROM mv_pemeriksaan vpb WHERE lower(nama_upt) LIKE '%jakarta%' AND EXTRACT(YEAR FROM tanggal_mulai) = 2025 AND kesimpulan LIKE 'TMK' AND lower(sarana) LIKE 'distribusi' GROUP BY 1 ORDER BY 2 DESC",""
