"no","generasi","pertanyaan","tabel_dipakai","pakai_agregasi","status_sebelum","status_sesudah","baris_hasil","kode_diagnosa","penjelasan_sebab"
"12","v1","""sarana distribusi apa saja yang pernah memiliki riwayat memenuhi ketentuan berdasarkan tahun temuannya?""","tanggal_mulai + mv_pemeriksaan","tidak","ERR_SCHEMA","OK","88734","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"13","v1","""sarana distribusi apa saja yang pernah memiliki riwayat tidak memenuhi ketentuan berdasarkan tahun temuannya?""","tanggal_mulai + mv_pemeriksaan","tidak","ERR_SCHEMA","OK","35146","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"14","v1","""sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom setiap tahun dari tahun 2020 hingga 2024?""","tanggal_mulai + mv_pemeriksaan","tidak","ERR_SCHEMA","OK","96777","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"15","v1","""sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom?""","mv_pemeriksaan","tidak","ERR_SCHEMA","OK","24259","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"16","v1","""sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang belum dilakukan pemeriksaan dalam periode 2 tahun terakhir?""","mv_pemeriksaan","tidak","ERR_SCHEMA","OK","44013","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"17","v1","""sarana produksi kosmetik apa saja yang memiliki riwayat pemeriksaan tidak memenuhi ketentuan dalam periode tahun 2024?""","mv_pemeriksaan + tanggal_mulai","tidak","ERR_SCHEMA","OK","2393","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"18","v1","""sarana produksi md apa yang paling sering memiliki riwayat tmk?""","mv_pemeriksaan","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_KOLOM_PECAH","Penanda MD/IRT ada di jenis_sarana, bukan komoditi — kolom lama `klasifikasi` pecah jadi dua di skema live"
"19","v1","""tampilkan daftar sarana dengan hasil tmk berulang lebih dari sekali pada kurun 5 tahun terakhir hingga saat ini pada wilayah kerja balai pom di tangerang""","mv_pemeriksaan","ya","ERR_SCHEMA","OK","96","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"20","v1","""tampilkan data persentase pirt yang aman dan bermutu selama periode 2025""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"21","v1","""tampilkan data profil jenis sarana yang sudah dilakukan pemeriksaan dari tahun 2025""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","3","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"22","v1","""tampilkan jumlah dan nama sarana distribusi dan pelayanan yang mk/tmk masing-masing upt pada tahun 2025.""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","4","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"23","v1","""tampilkan jumlah sarana produksi kategori mk dan tmk per komoditi, periode, wilayah, dan cakupan upt.""","mv_pemeriksaan","ya","ERR_SCHEMA","OK","29909","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"24","v1","""tampilkan jumlah sarana yang tidak dapat diperiksa di wilayah upt surabaya dan pada tahun 2025""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"25","v1","""tampilkan jumlah sarana yang tidak memenuhi ketentuan di wilayah upt surabaya dan pada tahun 2025""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"26","v1","""tampilkan persebaran pemeriksaan sarana di kab/kota wilayah kerja upt pada tahun 2025.""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1601","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"27","v1","""tampilkan persentase mk tmk hasil pemeriksaan sarana pangan olahan md untuk tujuan pemeriksaan pemeriksaan rutin dari seluruh upt di tahun 2025 dalam bentuk diagram batang""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"28","v1","""tampilkan profil pemeriksaan sarana produksi obat dan makanan selama periode 2025 dalam bentuk tabel dan grafik jumlah sarana produksi mk, tmk, tidak dapat dinilai, tutup per jenis komoditi (obat, ob","mv_pemeriksaan + tanggal_selesai","ya","ERR_SCHEMA","OK","20","PULIH_RELASI_KOLOM_NILAI","Pulih setelah penyesuaian relasi + kolom + nilai ke skema live"
"29","v1","""tampilkan riwayat pemeriksaan sarana produksi 'nida food' pada rentang tahun yang tersedia.""","mv_pemeriksaan","tidak","ERR_SCHEMA","OK","2","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"30","v1","""tampilkan sarana distribusi dan pelayanan yang tutup pada periode tahun 2025""","mv_pemeriksaan + tanggal_mulai","tidak","ERR_SCHEMA","OK","79","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"31","v1","""tampilkan sarana peredaran yang memiliki riwayat hasil tmk terbanyak di upt dengan nama balai pom di jakarta"".","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","233","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"32","v1","""upt mana saja yang paling banyak melaporkan hasil pemeriksaan sarana produksi yang tmk?""","mv_pemeriksaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"33","v1","""upt manakah yang hasil pemeriksaan tmk sarana produksi md nya paling banyak di tahun 2025?""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","NOL_BARIS","0","NOL_KOLOM_PECAH","Penanda MD/IRT ada di jenis_sarana, bukan komoditi — kolom lama `klasifikasi` pecah jadi dua di skema live"
"34","v1","""upt manakah yang hasil pemeriksaannya memiliki perserntase tmk terbanyak pada tahun 2025""","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"35","v1","Analisis data realisasi inspeksi pada periode waktu 2025 yang dilaksanakan oleh pusat maupun UPT secara mandiri","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"36","v1","berapa jumlah sarana yang diperiksa dalam rangka kasus di wilayah kerja bbpom di bandung pada tahun 2024?","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","3","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"37","v1","sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang tutup dalam periode tahun 2025?","mv_pemeriksaan + tanggal_selesai","tidak","ERR_SCHEMA","OK","110","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"38","v1","sebutkan sarana distribusi yang tutup tahun 2025?","mv_pemeriksaan + tanggal_selesai","tidak","ERR_SCHEMA","OK","79","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"39","v1","tampilkan jenis sarana yang paling banyak diperiksa pada tahun 2025.","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","3","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"40","v1","tampilkan jumlah inspeksi rutin kategori mk dan tmk per periode 2025","mv_pemeriksaan","ya","ERR_SCHEMA","OK","2","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"41","v1","tampilkan jumlah sarana yang memenuhi ketentuan di wilayah upt surabaya dan pada tahun 2025.","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"42","v1","tampilkan perbandingan jumlah sarana mk dibanding jumlah keseluruhan sarana yang diperiksa pada loka pom di kab. belitung pada triwulan i tahun 2025 dalam bentuk angka dan presentase.","mv_pemeriksaan","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"43","v1","tampilkan perbandingan jumlah sarana tmk dibanding jumlah keseluruhan sarana yang diperiksa loka pom di kab. belitung pada triwulan i tahun 205 dalam bentuk angka dan presentase","mv_pemeriksaan","ya","ERR_SCHEMA","OK","1","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"44","v1","tampilkan tiga temuan kritis paling sering ditemui beserta jumlah masing-masing temuannya pada balai besar pom di dki jakarta tahun 2024.","mv_pemeriksaan + tanggal_mulai","ya","ERR_SCHEMA","OK","3","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"45","v1","upt mana saja yang paling banyak melaporkan hasil pemeriksaan sarana yang tmk?","mv_pemeriksaan","ya","ERR_SCHEMA","OK","5","PULIH_RELASI_KOLOM","Pulih setelah penyesuaian relasi + kolom ke skema live"
"46","v2","analisis jumlah seluruh sarana produksi dan distribusi (tanpa pengulangan nama yang sama) per komoditi produk (obat/oba/sk/kos/po) yang telah diperiksa bpom dalam periode 2025","mv_pemeriksaan + mp","ya","OK","OK","46","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"47","v2","apa temuan/ketidaksesuaian yang paling banyak ditemukan dari hasil pemeriksaan sarana produksi md?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","6","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"48","v2","apa temuan/ketidaksesuaian yang paling banyak ditemukan pada seluruh sarana distribusi tmk di wilayah kerja balai pom di payakumbuh?","mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","8","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"49","v2","bagaimana riwayat pemeriksaan sarana alfamart dalam periode tahun 2024?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","583","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"50","v2","bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi dalam periode tahun 2025?","mp + mv_pemeriksaan","ya","OK","OK","246","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"51","v2","bagaimana tren data hasil pengawasan sarana obat tradisional; suplemen kesehatan; obat kuasi yang tidak memenuhi ketentuan berdasarkan kategori temuan (tmk tie/cpotb/cpotb habis/tidak memiliki cpotb) ","tanggal_mulai + mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","281","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"52","v2","bagaimana tren data hasil pengawasan sarana produksi kosmetik (profil hasil pengawasan) di upt balai pom di palembang dalam periode tahun 2024?","mv_pemeriksaan + mv_pemeriksaan_temuan + mp","tidak","OK","OK","1313","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"53","v2","bagaimana tren data hasil pengawasan sarana produksi kosmetik yang memenuhi ketentuan dan tidak memenuhi ketentuan dalam periode tahun 2024?","tanggal_mulai + mv_pemeriksaan","ya","OK","OK","31","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"54","v2","bagaimana tren data hasil pengawasan sarana produksi kosmetik yang tidak memenuhi ketentuan berdasarkan kategori temuan (tmk tie/cpkb/cpkb habis/tidak memiliki cpkb) dalam periode tahun 2025?","tanggal_mulai + mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","25","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"55","v2","bagaimana tren hasil pemeriksaan sarana peredaran sejak tahun 2025","tanggal_mulai + mv_pemeriksaan","ya","OK","OK","53","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"56","v2","bagaimana tren hasil pemeriksaan sarana produksi md dan pirt sejak tahun 2024 hingga 2025?","tanggal_mulai + mv_pemeriksaan","ya","OK","OK","48","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"57","v2","berapa jumlah sarana yang diperiksa dalam rangka kasus di wilayah kerja bbpom di bandung pada tahun 2024?","mv_pemeriksaan + mp","tidak","OK","OK","11","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"58","v2","berapa total sarana yang tutup dan/atau tidak berproduksi saat diperiksa di tahun 2024 di wilayah kerja jakarta utara?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","3","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"59","v2","merekap jumlah dan nama sarana distribusi dan pelayanan yang belum pernah diperiksa dalam kurun waktu 1 tahun terakhir","mv_pemeriksaan","tidak","OK","OK","146493","OK_TAPI_RAKSASA","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah. TAPI hasilnya 146,493 baris tanpa agregasi — jalan, bukan jawaban"
"60","v2","sarana distribusi apa saja yang pernah memiliki riwayat memenuhi ketentuan berdasarkan tahun temuannya?","tanggal_mulai + mv_pemeriksaan","tidak","OK","OK","99586","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"61","v2","sarana distribusi apa saja yang pernah memiliki riwayat tidak memenuhi ketentuan berdasarkan tahun temuannya?","tanggal_mulai + mv_pemeriksaan","tidak","OK","OK","36358","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"62","v2","sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom setiap tahun dari tahun 2020 hingga 2024?","tanggal_mulai + mv_pemeriksaan","tidak","OK","OK","35566","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"63","v2","sarana distribusi kosmetik apa saja yang pernah diperiksa oleh badan pom?","mv_pemeriksaan","tidak","OK","OK","23752","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"64","v2","sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang belum dilakukan pemeriksaan dalam periode 2 tahun terakhir?","mv_pemeriksaan","tidak","OK","OK","11471","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"65","v2","sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang memiliki riwayat pemeriksaan tidak memenuhi ketentuan dalam periode tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","tidak","OK","OK","4571","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"66","v2","sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang pernah memproduksi dan mengedarkan obat tradisional; suplemen kesehatan; obat kuasi tie dalam periode tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","tidak","OK","OK","26549","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"67","v2","sarana obat tradisional; suplemen kesehatan; obat kuasi apa saja yang tutup dalam periode tahun 2025?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","107","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"68","v2","sarana produksi kosmetik apa saja yang belum dilakukan pemeriksaan dalam periode 2 tahun terakhir?","mv_pemeriksaan","ya","OK","OK","607","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"69","v2","sarana produksi kosmetik apa saja yang memiliki riwayat pemeriksaan tidak memenuhi ketentuan dalam periode tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","tidak","OK","OK","207","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"70","v2","sarana produksi kosmetik apa saja yang pernah memproduksi dan mengedarkan kosmetik tie dalam periode tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","tidak","OK","OK","77","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"71","v2","sarana produksi kosmetik apa saja yang tutup dalam periode tahun 2025?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","4","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"72","v2","sarana produksi md apa yang paling sering memiliki riwayat tmk?","mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","10","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"73","v2","sebutkan sarana distribusi yang tutup tahun 2025?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","79","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"74","v2","sebutkan sarana distribusi yang tutup tahun 2025?","mv_pemeriksaan + tanggal_mulai","tidak","OK","OK","79","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"75","v2","tampilkan aspek temuan yang berulang dari tahun ke tahun pada sarana dengan nama siloam.","tanggal_mulai + mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","2","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"76","v2","tampilkan daftar sarana dengan hasil tmk berulang lebih dari sekali pada kurun 5 tahun terakhir hingga saat ini pada wilayah kerja balai pom di tangerang","tanggal_mulai + mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","530","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"77","v2","tampilkan data jumlah pemeriksaan sarana peredaran oleh adiyati pada tahun 2025","mv_pemeriksaan + mv_pemeriksaan_petugas + t1","ya","OK","OK","1","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"78","v2","tampilkan data profil jenis sarana yang sudah dilakukan pemeriksaan dari tahun 2025","mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","421","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"79","v2","tampilkan jenis sarana yang paling banyak diperiksa pada tahun 2025.","mv_pemeriksaan + tanggal_mulai","ya","OK","OK","21","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"80","v2","tampilkan jumlah dan nama sarana distribusi dan pelayanan yang mk/tmk masing-masing upt pada tahun 2025.","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","4527","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"81","v2","tampilkan jumlah inspeksi rutin kategori mk dan tmk per periode 2025","mv_pemeriksaan + mp","ya","OK","OK","6","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"82","v2","tampilkan jumlah nilai temuan produk sarana distribusi pada tahun 2025 dalam rupiah?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","89","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"83","v2","tampilkan jumlah nilai temuan produk sarana distribusi pada tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","90","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"84","v2","tampilkan jumlah sarana produksi kategori mk dan tmk per komoditi, periode, wilayah, dan cakupan upt.","mp + mv_pemeriksaan","ya","OK","OK","8361","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"85","v2","tampilkan jumlah temuan produk sarana distribusi pada tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","90","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"86","v2","tampilkan ketepatan waktu pelaporan sipt oleh balai besar pom di bandung dengan menampilkan data tanggal pemeriksaan dan tanggal kirim data sipt ke pusat yang kurang dari 30 hari kerja dan lebih dari ","mv_pemeriksaan_log + generate_series + hari + waktu + kerja + mv_pemeriksaan","ya","OK","OK","10172","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"87","v2","tampilkan ketepatan waktu pelaporan sipt oleh balai dengan menampilkan data tanggal pemeriksaan dan tanggal kirim data sipt ke pusat yang kurang dari 30 hari kerja dan lebih dari 30 hari kerja untuk b","mv_pemeriksaan_log + generate_series + hari + waktu + kerja + mv_pemeriksaan","ya","OK","OK","6704","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"88","v2","tampilkan merek-merek temuan produk kosmetik pada pemeriksaan tahun 2025 diurutkan berdasarkan temuan yang terbanyak?","mv_pemeriksaan + mv_pemeriksaan_temuan + tanggal_mulai","ya","OK","OK","809","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"89","v2","tampilkan merek-merek temuan produk obat tradisional; suplemen kesehatan; obat kuasi pada pemeriksaan tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan","ya","OK","OK","198","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"90","v2","tampilkan negara-negara dengan temuan impor pada tahun 2025?","mv_pemeriksaan + mv_pemeriksaan_temuan","tidak","OK","OK","99938","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"91","v2","tampilkan perbandingan jumlah sarana mk dibanding jumlah keseluruhan sarana yang diperiksa pada loka pom di kab. belitung pada triwulan i tahun 2025 dalam bentuk angka dan presentase.","mv_pemeriksaan + mp","ya","OK","OK","1","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"92","v2","tampilkan perbandingan jumlah sarana tmk dibanding jumlah keseluruhan sarana yang diperiksa loka pom di kab. belitung pada triwulan i tahun 2025 dalam bentuk angka dan presentase","mv_pemeriksaan + mp","ya","OK","OK","1","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"93","v2","tampilkan persentase ketepatan waktu pelaporan hasil pemeriksaan dari upt dengan nama Balai POM di Bogor di tw 1 2025 (syarat : tepat waktu jika pelaporan hasil pemeriksaan maksimal tanggal 15 bulan s","mv_pemeriksaan + mv_pemeriksaan_log + mpl + laporan_q1_2025","ya","OK","OK","1","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"94","v2","tampilkan persentase mk tmk hasil pemeriksaan sarana pangan olahan md untuk tujuan pemeriksaan pemeriksaan rutin dari seluruh upt di tahun 2025 dalam bentuk diagram batang","mv_pemeriksaan + mp","ya","OK","OK","197","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
"95","v2","tampilkan profil pemeriksaan sarana produksi obat dan makanan selama periode 2025 dalam bentuk tabel dan grafik jumlah sarana produksi mk, tmk, tidak dapat dinilai, tutup per jenis komoditi (obat, oba","tanggal_mulai + mv_pemeriksaan","ya","OK","OK","111","OK_LANGSUNG","SQL generasi berjalan sudah cocok dengan skema live; tidak perlu diubah"
